experiment_name,__run_id,__done,repetition,sampling,execution_time_ms,cpu_usage_percent,memory_usage_mb,cpu_energy_j
floyd_multi_experiment,run_0_repetition_0,DONE,1,200,27405.049,47.294,2966.581,565.089
floyd_multi_experiment,run_1_repetition_0,DONE,2,200,27833.511,47.055,2997.133,565.037
floyd_multi_experiment,run_2_repetition_0,DONE,3,200,27870.59,47.004,3008.08,565.832
floyd_multi_experiment,run_3_repetition_0,DONE,4,200,27737.981,47.805,3012.515,562.592
floyd_multi_experiment,run_4_repetition_0,DONE,5,200,28005.89,47.123,2995.903,568.489
floyd_multi_experiment,run_5_repetition_0,DONE,6,200,27833.09,47.179,2990.829,565.206
floyd_multi_experiment,run_6_repetition_0,DONE,7,200,27884.768,47.064,3006.034,565.706
floyd_multi_experiment,run_7_repetition_0,DONE,8,200,27966.737,47.425,3004.6,568.469
floyd_multi_experiment,run_8_repetition_0,DONE,9,200,27927.638,47.179,2993.811,566.87
floyd_multi_experiment,run_9_repetition_0,DONE,10,200,27830.009,47.118,3017.392,563.968
matrix_chain_multiplication_mixed_experiment,run_0_repetition_0,DONE,1,200,121.204,21.3,2961.907,11.441
matrix_chain_multiplication_mixed_experiment,run_1_repetition_0,DONE,2,200,119.487,16.115,2956.282,10.157
matrix_chain_multiplication_mixed_experiment,run_2_repetition_0,DONE,3,200,120.147,17.742,2964.551,10.222
matrix_chain_multiplication_mixed_experiment,run_3_repetition_0,DONE,4,200,120.513,17.807,2941.91,11.265
matrix_chain_multiplication_mixed_experiment,run_4_repetition_0,DONE,5,200,120.272,18.538,2911.899,10.298
matrix_chain_multiplication_mixed_experiment,run_5_repetition_0,DONE,6,200,120.29,17.671,2913.695,10.143
matrix_chain_multiplication_mixed_experiment,run_6_repetition_0,DONE,7,200,121.738,18.477,2914.066,10.673
matrix_chain_multiplication_mixed_experiment,run_7_repetition_0,DONE,8,200,122.463,17.771,2892.134,10.068
matrix_chain_multiplication_mixed_experiment,run_8_repetition_0,DONE,9,200,119.943,18.076,2893.649,10.29
matrix_chain_multiplication_mixed_experiment,run_9_repetition_0,DONE,10,200,121.853,17.904,2925.007,10.123
fibonacci_object_experiment,run_0_repetition_0,DONE,1,200,29515.216,7.204,2925.709,305.762
fibonacci_object_experiment,run_1_repetition_0,DONE,2,200,29333.839,6.983,2917.754,306.987
fibonacci_object_experiment,run_2_repetition_0,DONE,3,200,29428.846,7.067,2914.779,303.31
fibonacci_object_experiment,run_3_repetition_0,DONE,4,200,29378.193,6.922,2916.2,304.105
fibonacci_object_experiment,run_4_repetition_0,DONE,5,200,29510.259,6.943,2918.296,299.159
fibonacci_object_experiment,run_5_repetition_0,DONE,6,200,29299.894,6.968,2904.604,306.365
fibonacci_object_experiment,run_6_repetition_0,DONE,7,200,29613.068,7.143,2908.712,299.139
fibonacci_object_experiment,run_7_repetition_0,DONE,8,200,29501.776,6.954,2916.119,300.893
fibonacci_object_experiment,run_8_repetition_0,DONE,9,200,29279.54,7.091,2914.582,305.975
fibonacci_object_experiment,run_9_repetition_0,DONE,10,200,29488.686,7.139,2916.708,305.15
matrix_chain_multiplication_function_experiment,run_0_repetition_0,DONE,1,200,11001.603,6.869,2950.605,259.106
matrix_chain_multiplication_function_experiment,run_1_repetition_0,DONE,2,200,11171.224,6.687,2945.617,255.146
matrix_chain_multiplication_function_experiment,run_2_repetition_0,DONE,3,200,11257.622,6.822,2942.835,257.827
matrix_chain_multiplication_function_experiment,run_3_repetition_0,DONE,4,200,11537.726,6.713,2945.449,263.009
matrix_chain_multiplication_function_experiment,run_4_repetition_0,DONE,5,200,11232.246,6.722,2938.287,252.939
matrix_chain_multiplication_function_experiment,run_5_repetition_0,DONE,6,200,11126.357,6.814,2934.299,260.644
matrix_chain_multiplication_function_experiment,run_6_repetition_0,DONE,7,200,11062.099,7.243,2947.179,265.503
matrix_chain_multiplication_function_experiment,run_7_repetition_0,DONE,8,200,11333.219,6.78,2944.635,253.829
matrix_chain_multiplication_function_experiment,run_8_repetition_0,DONE,9,200,11112.662,6.86,2946.031,257.118
matrix_chain_multiplication_function_experiment,run_9_repetition_0,DONE,10,200,11171.085,6.794,2948.685,259.101
knapsack_native_function_experiment,run_0_repetition_0,DONE,1,200,0.017,21.166,3002.23,8.526
knapsack_native_function_experiment,run_1_repetition_0,DONE,2,200,0.017,20.7,3061.552,8.37
knapsack_native_function_experiment,run_2_repetition_0,DONE,3,200,0.017,20.955,3046.769,8.439
knapsack_native_function_experiment,run_3_repetition_0,DONE,4,200,0.017,20.643,3115.596,7.954
knapsack_native_function_experiment,run_4_repetition_0,DONE,5,200,0.017,20.241,3156.534,8.028
knapsack_native_function_experiment,run_5_repetition_0,DONE,6,200,0.076,20.818,3166.416,7.968
knapsack_native_function_experiment,run_6_repetition_0,DONE,7,200,0.017,20.608,3173.074,7.965
knapsack_native_function_experiment,run_7_repetition_0,DONE,8,200,0.018,33.939,3172.94,8.017
knapsack_native_function_experiment,run_8_repetition_0,DONE,9,200,0.017,20.946,3238.311,8.099
knapsack_native_function_experiment,run_9_repetition_0,DONE,10,200,0.016,20.485,3230.309,7.994
floyd_mixed_experiment,run_0_repetition_0,DONE,1,200,99.517,19.072,2938.277,10.94
floyd_mixed_experiment,run_1_repetition_0,DONE,2,200,99.437,19.359,2955.508,10.855
floyd_mixed_experiment,run_2_repetition_0,DONE,3,200,100.579,18.188,2938.078,10.137
floyd_mixed_experiment,run_3_repetition_0,DONE,4,200,100.345,30.042,2927.012,10.547
floyd_mixed_experiment,run_4_repetition_0,DONE,5,200,99.608,16.936,2925.413,10.29
floyd_mixed_experiment,run_5_repetition_0,DONE,6,200,99.586,17.801,2944.28,9.896
floyd_mixed_experiment,run_6_repetition_0,DONE,7,200,99.688,18.11,2931.306,10.061
floyd_mixed_experiment,run_7_repetition_0,DONE,8,200,99.777,17.789,2970.346,10.26
floyd_mixed_experiment,run_8_repetition_0,DONE,9,200,99.555,18.29,2967.628,10.639
floyd_mixed_experiment,run_9_repetition_0,DONE,10,200,100.645,30.056,2996.967,10.054
knapsack_other_experiment,run_0_repetition_0,DONE,1,200,14.404,20.973,2901.284,3.537
knapsack_other_experiment,run_1_repetition_0,DONE,2,200,12.961,20.795,2903.975,3.26
knapsack_other_experiment,run_2_repetition_0,DONE,3,200,13.141,20.301,2907.158,3.447
knapsack_other_experiment,run_3_repetition_0,DONE,4,200,13.108,19.7,2906.014,3.195
knapsack_other_experiment,run_4_repetition_0,DONE,5,200,12.857,18.373,2907.208,3.27
knapsack_other_experiment,run_5_repetition_0,DONE,6,200,14.737,22.918,2917.704,3.24
knapsack_other_experiment,run_6_repetition_0,DONE,7,200,16.531,20.586,2925.444,3.374
knapsack_other_experiment,run_7_repetition_0,DONE,8,200,13.299,18.248,2935.022,3.329
knapsack_other_experiment,run_8_repetition_0,DONE,9,200,18.496,23.926,2925.211,3.748
knapsack_other_experiment,run_9_repetition_0,DONE,10,200,12.992,20.478,2916.206,3.422
longest_common_subsequence_mixed_experiment,run_0_repetition_0,DONE,1,200,479.978,13.93,2991.418,19.299
longest_common_subsequence_mixed_experiment,run_1_repetition_0,DONE,2,200,471.793,14.096,3023.055,16.411
longest_common_subsequence_mixed_experiment,run_2_repetition_0,DONE,3,200,472.785,13.973,2999.149,16.688
longest_common_subsequence_mixed_experiment,run_3_repetition_0,DONE,4,200,476.014,12.977,2978.263,16.367
longest_common_subsequence_mixed_experiment,run_4_repetition_0,DONE,5,200,477.317,12.599,2978.644,16.14
longest_common_subsequence_mixed_experiment,run_5_repetition_0,DONE,6,200,464.151,12.863,3022.982,16.518
longest_common_subsequence_mixed_experiment,run_6_repetition_0,DONE,7,200,475.628,13.668,3005.9,16.261
longest_common_subsequence_mixed_experiment,run_7_repetition_0,DONE,8,200,464.661,13.69,3012.194,16.151
longest_common_subsequence_mixed_experiment,run_8_repetition_0,DONE,9,200,477.803,13.687,2998.824,16.502
longest_common_subsequence_mixed_experiment,run_9_repetition_0,DONE,10,200,476.341,14.195,3002.515,16.642
knapsack_native_experiment,run_0_repetition_0,DONE,1,200,13.069,18.843,3117.698,7.9
knapsack_native_experiment,run_1_repetition_0,DONE,2,200,12.978,20.461,3049.955,8.183
knapsack_native_experiment,run_2_repetition_0,DONE,3,200,12.978,34.331,3023.655,8.273
knapsack_native_experiment,run_3_repetition_0,DONE,4,200,12.965,21.027,3005.477,8.164
knapsack_native_experiment,run_4_repetition_0,DONE,5,200,13.068,21.116,2986.211,8.3
knapsack_native_experiment,run_5_repetition_0,DONE,6,200,12.994,18.879,2997.009,8.158
knapsack_native_experiment,run_6_repetition_0,DONE,7,200,13.049,33.986,2984.524,8.531
knapsack_native_experiment,run_7_repetition_0,DONE,8,200,12.963,19.787,3000.191,8.321
knapsack_native_experiment,run_8_repetition_0,DONE,9,200,13.019,20.708,2983.698,8.323
knapsack_native_experiment,run_9_repetition_0,DONE,10,200,13.511,34.592,2975.674,8.367
dijkstra_other_experiment,run_0_repetition_0,DONE,1,200,1391.771,70.487,2868.262,36.837
dijkstra_other_experiment,run_1_repetition_0,DONE,2,200,1361.232,70.651,2860.129,36.115
dijkstra_other_experiment,run_2_repetition_0,DONE,3,200,1364.59,78.787,2853.082,36.316
dijkstra_other_experiment,run_3_repetition_0,DONE,4,200,1362.594,70.262,2854.676,36.41
dijkstra_other_experiment,run_4_repetition_0,DONE,5,200,1358.394,78.475,2850.715,36.743
dijkstra_other_experiment,run_5_repetition_0,DONE,6,200,1361.243,69.912,2852.932,36.193
dijkstra_other_experiment,run_6_repetition_0,DONE,7,200,1376.65,78.213,2863.862,36.371
dijkstra_other_experiment,run_7_repetition_0,DONE,8,200,1360.943,70.345,2864.67,36.341
dijkstra_other_experiment,run_8_repetition_0,DONE,9,200,1351.867,78.786,2863.813,35.934
dijkstra_other_experiment,run_9_repetition_0,DONE,10,200,1369.481,77.965,2863.594,36.277
floyd_origin_experiment,run_0_repetition_0,DONE,1,200,3706.32,7.99,2874.963,46.706
floyd_origin_experiment,run_1_repetition_0,DONE,2,200,3690.187,7.093,2859.851,44.563
floyd_origin_experiment,run_2_repetition_0,DONE,3,200,3718.81,6.876,2857.204,44.307
floyd_origin_experiment,run_3_repetition_0,DONE,4,200,3683.001,6.861,2857.868,42.465
floyd_origin_experiment,run_4_repetition_0,DONE,5,200,3830.991,7.124,2853.571,43.45
floyd_origin_experiment,run_5_repetition_0,DONE,6,200,3701.043,6.958,2845.906,44.803
floyd_origin_experiment,run_6_repetition_0,DONE,7,200,3743.32,7.179,2850.822,48.55
floyd_origin_experiment,run_7_repetition_0,DONE,8,200,3691.254,6.727,2869.255,44.684
floyd_origin_experiment,run_8_repetition_0,DONE,9,200,3695.724,6.477,2879.139,44.265
floyd_origin_experiment,run_9_repetition_0,DONE,10,200,3688.994,6.906,2871.091,44.378
fibonacci_other_experiment,run_0_repetition_0,DONE,1,200,2801.728,11.056,2931.86,35.018
fibonacci_other_experiment,run_1_repetition_0,DONE,2,200,2764.503,10.267,2924.407,31.852
fibonacci_other_experiment,run_2_repetition_0,DONE,3,200,2766.958,10.523,2927.265,32.502
fibonacci_other_experiment,run_3_repetition_0,DONE,4,200,2744.141,14.334,2937.645,33.589
fibonacci_other_experiment,run_4_repetition_0,DONE,5,200,2767.97,10.635,2930.841,32.424
fibonacci_other_experiment,run_5_repetition_0,DONE,6,200,2766.563,11.011,2922.546,33.6
fibonacci_other_experiment,run_6_repetition_0,DONE,7,200,2779.476,11.022,2928.727,33.177
fibonacci_other_experiment,run_7_repetition_0,DONE,8,200,2733.206,14.974,2921.962,32.93
fibonacci_other_experiment,run_8_repetition_0,DONE,9,200,2738.708,15.272,2932.653,33.267
fibonacci_other_experiment,run_9_repetition_0,DONE,10,200,2739.063,10.167,2929.438,-65503.591
edit_distance_origin_experiment,run_0_repetition_0,DONE,1,200,3492.859,7.313,3295.379,80.75
edit_distance_origin_experiment,run_1_repetition_0,DONE,2,200,3484.818,6.95,3247.888,81.183
edit_distance_origin_experiment,run_2_repetition_0,DONE,3,200,3479.865,6.97,3338.291,81.916
edit_distance_origin_experiment,run_3_repetition_0,DONE,4,200,3515.046,7.029,3291.342,86.702
edit_distance_origin_experiment,run_4_repetition_0,DONE,5,200,3499.39,7.037,3216.142,84.846
edit_distance_origin_experiment,run_5_repetition_0,DONE,6,200,3477.081,7.138,3243.792,83.106
edit_distance_origin_experiment,run_6_repetition_0,DONE,7,200,3471.786,6.755,3240.379,81.624
edit_distance_origin_experiment,run_7_repetition_0,DONE,8,200,3477.306,7.106,3334.607,80.673
edit_distance_origin_experiment,run_8_repetition_0,DONE,9,200,3490.91,7.318,3246.425,83.698
edit_distance_origin_experiment,run_9_repetition_0,DONE,10,200,3476.691,7.059,3302.947,79.838
