experiment_name,__run_id,__done,repetition,sampling,execution_time_ms,cpu_usage_percent,memory_usage_mb,cpu_energy_j
floyd_function_experiment,run_0_repetition_0,DONE,1,1000,5860.892,6.862,2740.151,63.623
floyd_function_experiment,run_1_repetition_0,DONE,2,1000,5854.223,6.701,2752.842,64.281
floyd_function_experiment,run_2_repetition_0,DONE,3,1000,5860.133,6.726,2770.63,65.697
floyd_function_experiment,run_3_repetition_0,DONE,4,1000,5856.936,6.331,2749.098,64.335
floyd_function_experiment,run_4_repetition_0,DONE,5,1000,6149.821,6.343,2747.783,67.977
floyd_function_experiment,run_5_repetition_0,DONE,6,1000,5875.538,6.684,2759.512,64.568
floyd_function_experiment,run_6_repetition_0,DONE,7,1000,5868.792,6.522,2745.283,65.429
floyd_function_experiment,run_7_repetition_0,DONE,8,1000,5853.542,6.407,2734.664,63.314
floyd_function_experiment,run_8_repetition_0,DONE,9,1000,5857.279,6.531,2735.193,67.68
floyd_function_experiment,run_9_repetition_0,DONE,10,1000,5890.717,6.712,2745.507,63.976
rod_cutting_native_experiment,run_0_repetition_0,DONE,1,1000,67.182,10.716,2819.803,10.845
rod_cutting_native_experiment,run_1_repetition_0,DONE,2,1000,64.439,10.605,2827.411,9.969
rod_cutting_native_experiment,run_2_repetition_0,DONE,3,1000,64.519,10.753,2861.909,10.677
rod_cutting_native_experiment,run_3_repetition_0,DONE,4,1000,64.628,10.362,2896.84,10.265
rod_cutting_native_experiment,run_4_repetition_0,DONE,5,1000,64.342,10.812,2923.931,10.635
rod_cutting_native_experiment,run_5_repetition_0,DONE,6,1000,64.698,10.036,2896.112,10.058
rod_cutting_native_experiment,run_6_repetition_0,DONE,7,1000,64.524,10.657,2905.781,10.564
rod_cutting_native_experiment,run_7_repetition_0,DONE,8,1000,64.406,7.724,2869.893,9.986
rod_cutting_native_experiment,run_8_repetition_0,DONE,9,1000,64.514,10.542,2845.63,10.144
rod_cutting_native_experiment,run_9_repetition_0,DONE,10,1000,64.645,10.288,2851.801,9.732
knapsack_other_experiment,run_0_repetition_0,DONE,1,1000,12.679,8.337,2784.535,5.908
knapsack_other_experiment,run_1_repetition_0,DONE,2,1000,12.864,7.229,2778.555,4.913
knapsack_other_experiment,run_2_repetition_0,DONE,3,1000,12.742,5.03,2791.49,4.943
knapsack_other_experiment,run_3_repetition_0,DONE,4,1000,12.824,8.428,2790.634,4.933
knapsack_other_experiment,run_4_repetition_0,DONE,5,1000,12.561,4.798,2790.457,4.982
knapsack_other_experiment,run_5_repetition_0,DONE,6,1000,12.632,7.359,2788.602,4.953
knapsack_other_experiment,run_6_repetition_0,DONE,7,1000,12.794,7.227,2804.842,4.927
