experiment_name,repetition,execution_time_ms,cpu_usage_percent,memory_usage_mb,cpu_energy_j,base_algo,optimize_method
fibonacci_object_experiment,10,29488.686,7.139,2916.708,305.15,fibonacci,object
matrix_chain_multiplication_function_experiment,1,11001.603,6.869,2950.605,259.106,matrix_chain_multiplication,function
matrix_chain_multiplication_function_experiment,2,11171.224,6.687,2945.617,255.146,matrix_chain_multiplication,function
matrix_chain_multiplication_function_experiment,3,11257.622,6.822,2942.835,257.827,matrix_chain_multiplication,function
matrix_chain_multiplication_function_experiment,4,11537.726,6.713,2945.449,263.009,matrix_chain_multiplication,function
matrix_chain_multiplication_function_experiment,5,11232.246,6.722,2938.287,252.939,matrix_chain_multiplication,function
matrix_chain_multiplication_function_experiment,6,11126.357,6.814,2934.299,260.644,matrix_chain_multiplication,function
matrix_chain_multiplication_function_experiment,7,11062.099,7.243,2947.179,265.503,matrix_chain_multiplication,function
matrix_chain_multiplication_function_experiment,8,11333.219,6.78,2944.635,253.829,matrix_chain_multiplication,function
matrix_chain_multiplication_function_experiment,9,11112.662,6.86,2946.031,257.118,matrix_chain_multiplication,function
matrix_chain_multiplication_function_experiment,10,11171.085,6.794,2948.685,259.101,matrix_chain_multiplication,function
knapsack_native_function_experiment,1,0.017,21.166,3002.23,8.526,knapsack,"native,function"
knapsack_native_function_experiment,2,0.017,20.7,3061.552,8.37,knapsack,"native,function"
knapsack_native_function_experiment,3,0.017,20.955,3046.769,8.439,knapsack,"native,function"
knapsack_native_function_experiment,4,0.017,20.643,3115.596,7.954,knapsack,"native,function"
knapsack_native_function_experiment,5,0.017,20.241,3156.534,8.028,knapsack,"native,function"
knapsack_native_function_experiment,6,0.076,20.818,3166.416,7.968,knapsack,"native,function"
knapsack_native_function_experiment,7,0.017,20.608,3173.074,7.965,knapsack,"native,function"
knapsack_native_function_experiment,8,0.018,33.939,3172.94,8.017,knapsack,"native,function"
knapsack_native_function_experiment,9,0.017,20.946,3238.311,8.099,knapsack,"native,function"
knapsack_native_function_experiment,10,0.016,20.485,3230.309,7.994,knapsack,"native,function"
floyd_mixed_experiment,1,99.517,19.072,2938.277,10.94,floyd,mixed
floyd_mixed_experiment,2,99.437,19.359,2955.508,10.855,floyd,mixed
floyd_mixed_experiment,3,100.579,18.188,2938.078,10.137,floyd,mixed
floyd_mixed_experiment,4,100.345,30.042,2927.012,10.547,floyd,mixed
floyd_mixed_experiment,5,99.608,16.936,2925.413,10.29,floyd,mixed
floyd_mixed_experiment,6,99.586,17.801,2944.28,9.896,floyd,mixed
floyd_mixed_experiment,7,99.688,18.11,2931.306,10.061,floyd,mixed
floyd_mixed_experiment,8,99.777,17.789,2970.346,10.26,floyd,mixed
floyd_mixed_experiment,9,99.555,18.29,2967.628,10.639,floyd,mixed
floyd_mixed_experiment,10,100.645,30.056,2996.967,10.054,floyd,mixed
knapsack_other_experiment,1,14.404,20.973,2901.284,3.537,knapsack,other
knapsack_other_experiment,2,12.961,20.795,2903.975,3.26,knapsack,other
knapsack_other_experiment,3,13.141,20.301,2907.158,3.447,knapsack,other
knapsack_other_experiment,4,13.108,19.7,2906.014,3.195,knapsack,other
knapsack_other_experiment,5,12.857,18.373,2907.208,3.27,knapsack,other
knapsack_other_experiment,6,14.737,22.918,2917.704,3.24,knapsack,other
knapsack_other_experiment,7,16.531,20.586,2925.444,3.374,knapsack,other
knapsack_other_experiment,8,13.299,18.248,2935.022,3.329,knapsack,other
